"metrics","values"
"auc",0.955782007765558
"cbi",0.993021093189032
"pr",0.0604726436615041
"prg",0.880646073961043
"tss_maxsss",0.804674875207987
"spec_maxsss",0.8496
"sens_maxsss",0.955074875207987
"kap_maxsss",NA
"fmeas_maxsss",0.0483673899304824
"opr_maxsss",0.975188034926947
"upr_maxsss",0.000211819529760644
"tss_mtp",0.10148
"spec_mtp",0.10148
"sens_mtp",1
"kap_mtp",NA
"fmeas_mtp",0.0088395352257685
"opr_mtp",0.99556061132081
"upr_mtp",0
"tss_p10",0.799806389351082
"spec_p10",0.89964
"sens_p10",0.900166389351082
"kap_p10",NA
"fmeas_p10",0.0668066189182514
"opr_p10",0.96530939403655
"upr_p10",0.000444424692235901
