"metrics","values"
"auc",0.994785845812534
"cbi",0.885405216371941
"pr",0.494110053611867
"prg",0.999348001695014
"tss_maxsss",0.955129439822518
"spec_maxsss",0.956793333333333
"sens_maxsss",0.998336106489185
"kap_maxsss",NA
"fmeas_maxsss",0.156209320489456
"opr_maxsss",0.915266205338229
"upr_maxsss",6.96767001114827e-06
"tss_mtp",0.956053333333333
"spec_mtp",0.956053333333333
"sens_mtp",1
"kap_mtp",NA
"fmeas_mtp",0.154221195791635
"opr_mtp",0.916446545252329
"upr_mtp",0
"tss_p10",0.885773056017748
"spec_p10",0.985606666666667
"sens_p10",0.900166389351082
"kap_p10",NA
"fmeas_p10",0.327779460769464
"opr_p10",0.79962962962963
"upr_p10",0.000405676770272006
